"id","comic_id","author_id","created_at"
"698","138","180","2025-12-11 07:34:29.233182"
"699","157","199","2025-12-11 07:45:45.695382"
"701","166","208","2025-12-11 07:55:57.873765"
"702","132","9","2025-12-11 08:03:20.906516"
"491","162","380","2025-12-11 01:55:53.149044"
"496","169","388","2025-12-11 02:01:03.824661"
"499","172","214","2025-12-11 02:05:10.725941"
"502","174","392","2025-12-11 02:07:54.879671"
"166","3","3","2025-12-10 01:51:52.834693"
"167","4","19","2025-12-10 02:00:06.957201"
"168","5","20","2025-12-10 02:01:54.308617"
"170","7","22","2025-12-10 02:04:52.53978"
"173","14","54","2025-12-10 02:14:27.264817"
"539","159","201","2025-12-11 02:59:42.028461"
"711","8","8","2025-12-12 01:05:27.861246"
"713","2","2","2025-12-12 01:07:27.181345"
"714","1","28","2025-12-12 01:11:24.856164"
"717","29","69","2025-12-12 01:24:25.964171"
"555","183","225","2025-12-11 03:18:00.54601"
"718","39","79","2025-12-12 01:38:25.279084"
"719","41","81","2025-12-12 01:42:25.780256"
"721","97","137","2025-12-12 01:52:25.38439"
"722","88","128","2025-12-12 01:53:27.045881"
"724","101","141","2025-12-12 02:14:23.827268"
"726","43","83","2025-12-12 02:49:22.000805"
"593","184","178","2025-12-11 04:05:37.071936"
"596","187","229","2025-12-11 04:08:57.273902"
"663","139","181","2025-12-11 06:20:49.867001"
"275","48","88","2025-12-10 15:27:48.090435"
"278","51","88","2025-12-10 15:30:54.319912"
"279","52","88","2025-12-10 15:31:43.335919"
"280","53","88","2025-12-10 15:32:45.7583"
"281","54","88","2025-12-10 15:33:43.634614"
"664","142","184","2025-12-11 06:22:13.539851"
"242","10","10","2025-12-10 14:52:22.829742"
"243","15","54","2025-12-10 14:55:44.666961"
"244","16","56","2025-12-10 14:56:40.996366"
"245","17","57","2025-12-10 14:57:39.19202"
"247","19","59","2025-12-10 14:59:34.108956"
"248","20","60","2025-12-10 15:00:39.412587"
"666","144","181","2025-12-11 06:24:30.657072"
"250","22","63","2025-12-10 15:02:43.089369"
"667","149","368","2025-12-11 06:24:49.03558"
"252","24","64","2025-12-10 15:04:41.603356"
"253","25","60","2025-12-10 15:05:49.117735"
"669","147","189","2025-12-11 06:26:56.989235"
"256","28","68","2025-12-10 15:08:48.163436"
"258","30","70","2025-12-10 15:10:46.878724"
"259","31","71","2025-12-10 15:11:48.474931"
"260","32","72","2025-12-10 15:12:53.936973"
"261","33","73","2025-12-10 15:13:46.501531"
"262","34","63","2025-12-10 15:14:46.036262"
"263","35","73","2025-12-10 15:15:44.552063"
"264","36","76","2025-12-10 15:17:08.283377"
"265","37","63","2025-12-10 15:17:51.801944"
"266","38","78","2025-12-10 15:18:46.551091"
"268","40","80","2025-12-10 15:20:42.952466"
"270","42","270","2025-12-10 15:22:59.22546"
"283","55","95","2025-12-10 15:35:46.933469"
"284","56","88","2025-12-10 15:36:43.718702"
"285","57","88","2025-12-10 15:37:41.110346"
"289","61","289","2025-12-10 15:41:44.846604"
"291","63","103","2025-12-10 15:43:51.791765"
"293","65","105","2025-12-10 15:45:52.957493"
"295","68","107","2025-12-10 15:48:38.271493"
"297","70","107","2025-12-10 15:50:34.436883"
"300","73","107","2025-12-10 15:53:32.612521"
"301","74","107","2025-12-10 15:54:37.714197"
"303","76","107","2025-12-10 15:56:37.344173"
"309","78","107","2025-12-10 16:08:28.331371"
"310","79","107","2025-12-10 16:11:02.346258"
"315","84","124","2025-12-10 16:25:54.454656"
"316","89","129","2025-12-10 16:26:40.01991"
"319","92","130","2025-12-10 16:29:54.582877"
"320","93","133","2025-12-10 16:30:56.666546"
"321","94","134","2025-12-10 16:31:41.29454"
"325","98","138","2025-12-10 16:35:40.12506"
"326","99","139","2025-12-10 16:36:44.867914"
"328","102","142","2025-12-10 16:39:54.505914"
"334","108","148","2025-12-10 16:45:45.884151"
"336","110","145","2025-12-10 16:47:45.184842"
"338","112","152","2025-12-10 16:49:39.749978"
"343","117","147","2025-12-10 16:55:05.566285"
"345","120","160","2025-12-10 16:58:07.959349"
"351","13","3","2025-12-10 17:15:31.305564"
"352","133","352","2025-12-10 17:19:48.360111"
"673","153","195","2025-12-11 06:30:41.408389"
"674","155","197","2025-12-11 06:30:58.115992"
"676","156","188","2025-12-11 06:32:46.270999"
"678","161","379","2025-12-11 06:33:46.035438"
"679","164","206","2025-12-11 06:36:35.710515"
"680","173","391","2025-12-11 06:37:35.678881"
"361","141","148","2025-12-10 17:27:04.824714"
"681","167","209","2025-12-11 06:39:06.550013"
"682","175","217","2025-12-11 06:39:38.305906"
"683","177","219","2025-12-11 06:40:09.284031"
"684","178","220","2025-12-11 06:41:02.16521"
"685","134","176","2025-12-11 06:43:03.462281"
"686","181","80","2025-12-11 06:43:06.864946"
"687","182","224","2025-12-11 06:43:59.344481"
"688","186","107","2025-12-11 06:45:58.35551"
"689","190","232","2025-12-11 06:46:45.806037"
"381","152","194","2025-12-10 17:47:48.725135"
"382","163","382","2025-12-10 17:48:51.485137"
"690","191","233","2025-12-11 06:47:49.669537"
"691","176","218","2025-12-11 06:50:46.874448"
"692","180","397","2025-12-11 06:53:43.831067"
"694","136","178","2025-12-11 07:12:51.431753"
"697","135","137","2025-12-11 07:22:28.374986"
"700","168","210","2025-12-11 07:55:18.645429"
"703","148","190","2025-12-11 08:06:33.439926"
"405","188","405","2025-12-10 18:14:58.040935"
"410","18","58","2025-12-10 18:24:33.009535"
"413","26","3","2025-12-10 18:32:31.279621"
"415","67","107","2025-12-10 19:14:34.003948"
